Set,Word,Kanji,Meaning
L15,つくります,作ります,make / produce
L15,うります,売ります,sell
L15,しります,知ります,get to know
L15,すみます,住みます,be going to live
L15,けんきゅうします,研究します,do research
L15,しっています,知っています,know
L15,すんでいます,住んでいます,live [in somewhere]
L15,しりょう,資料,materials / data
L15,じこくひょう,時刻表,timetable
L15,ふく,服,clothes
L15,せいひん,製品,products
L15,ソフト,,software
L15,せんもん,専門,speciality / a field of study
L15,はいしゃ,歯医者,dentist / dentist’s
L15,とこや,床屋,barber / barber’s
L15,プレイガイド,,(theatre) ticket agency
L15,どくしん,独身,single / unmarried
L15,とくに,特に,especially
L15,おもいだします,思い出します,remember / recollect
L15,ごかぞく,ご家族,your family
L15,いらっしゃいます,,be (honorific equivalent of います)
L15,こうこう,高校,senior high school
L15,にっぽんばし,日本橋,the name of a shopping district in Osaka
L16,のります,乗ります,Get on
L16,おります,降ります,Get off
L16,のりかえます,乗り換えます,Change
L16,あびます,浴びます,Take ( a shower )
L16,いれます,入れます,Insert / put in
L16,だします,出します,Take out / withdraw
L16,はいります,入ります,Enter [University]
L16,でます,出ます,Graduate
L16,やめます,,Give up / Quit
L16,おします,押します,Push / press
L16,わかい,若い,Young
L16,ながい,長い,Long
L16,みじかい,短い,Short
L16,あかるい,明るい,Bright / light
L16,くらい,暗い,Dark
L16,せがたかい,背が高い,Tall
L16,あたまがいい,頭がいい,Smart / clever
L16,からだ,体,Body
L16,あたま,頭,Head
L16,かみ,髪,Hair
L16,かお,顔,Face
L16,め,目,Eye
L16,みみ,耳,Ear
L16,くち,口,Mouth
L16,は,歯,Tooth
L16,おなか,お腹,Stomach
L16,あし,足,Foot / leg
L16,サービス,,Service
L16,ジョギング,,Jogging
L16,シャワー,,Shower
L16,みどり,緑,Green
L16,おてら,お寺,Buddhist shrine
L16,じんじゃ,神社,Shinto shrine
L16,りゅうがくせい,留学生,Foreign student
L16,いちばん,一番,Number one
L16,どうやって,,How / in what way
L16,どの~,,Which~(used for three or more)
L16,おひきだしですか,お引き出しですか,Are you making a withdrawal?
L16,まず,,First of all
L16,キャッシュカード,,Cash dispensing card
L16,あんしょうばんごう,暗証番号,personal identification number / PIN
L16,つぎに,,Next
L16,きんがく,金閣,amount of money
L16,かくにん,確認,Confirmation
L16,ボタン,,Button
L17,おぼえます,覚えます,memorize
L17,わすれます,忘れます,forget
L17,なくします,,lose
L17,だします[レポートを～],出します,hand in (a report)
L17,はらいます,払います,pay
L17,かえします,返します,give back / return
L17,でかけます,出かけます,go out
L17,ぬぎます,脱ぎます,take off (clothes / shoes / etc.)
L17,もっていきます,持って行きます,take (something)
L17,もってきます,持って来ます,bring (something)
L17,しんぱいします,心配します,worry
L17,ざんぎょうします,残業します,work overtime
L17,しゅっちょうします,出張します,go on a business trip
L17,のみます[くすりを～],飲みます[薬を～],take (medicine)
L17,はいります[おふろに～],入ります,take (a bath)
L17,たいせつ[な],大切[な],important / precious
L17,だいじょうぶ[な],大丈夫[な],all right
L17,あぶない,危ない,dangerous
L17,もんだい,問題,question / problem / trouble
L17,こたえ,答え,answer
L17,きんえん,禁煙,no smoking
L17,[けんこう]ほけんしょう,[健康]保険証,(health) insurance card
L17,かぜ,,cold / flu
L17,ねつ,熱,fever
L17,びょうき,病気,illness / disease
L17,くすり,薬,medicine
L17,[お]ふろ,,bath
L17,うわぎ,上着,jacket / outwear
L17,したぎ,下着,underwear
L17,せんせい,先生,doctor (used when addressing a medical doctor)
L17,2，3にち,2，3日,a few days
L17,2，3～,2，3～,a few ~ (~is a counter suffix)
L17,～までに,,before ~ / by ~ (indicating time limit)
L17,ですから,,therefore / so
L17,どうしましたか,,What’s the matter?
L17,[～が]いたいです,[～が]痛いです,(I) have a pain (in my ~)
L17,のど,,throat
L17,おだいじに,お大事に,Take care of yourself (said to people who are ill)
L18,できます,,be able to / can
L18,あらいます,洗います,wash
L18,ひきます,弾きます,play (stringed or keyboard instruments)
L18,うたいます,歌います,sing
L18,あつめます,集めます,collect / gather
L18,すてます,捨てます,throw away
L18,かえます,換えます,exchange / change
L18,うんてんします,運転します,drive
L18,よやくします,予約します,reserve / book
L18,けんがくします,見学します,visit some place for study
L18,ピアノ,,piano
L18,～メートル,,~ meter
L18,こくさい,国際,international
L18,げんきん,現金,cash
L18,しゅみ,趣味,hobby
L18,にっき,日記,diary
L18,[お]いのり[をします],[お]祈り[～をします],prayer (pray)
L18,かちょう,課長,section chief
L18,ぶちょう,部長,department chief
L18,しゃちょう,社長,president of a company
L18,どうぶつ,動物,animal
L18,うま,馬,horse
L18,へえ,,Really! (used when expressing surprise)
L18,それはおもしろいですね,,That must be interesting
L18,なかなか,,not easily (used with negatives)
L18,ぼくじょう,牧場,ranch / stock farm
L18,ほんとうですか,,Really?
L18,ぜひ,,by all means
L18,ビートルズ,,the Beatles / famous British music group
L19,のぼります[やまに～],登ります[山に～],climb (a mountain)
L19,とまります[ホテルに～],泊まります,stay (at a hotel)
L19,そうじします,掃除します,clean (a room)
L19,せんたくします,洗濯します,wash (clothes)
L19,れんしゅうします,練習します,practice
L19,なります,,become
L19,ねむい,眠い,sleepy
L19,つよい,強い,strong
L19,よわい,弱い,weak
L19,ちょうしがいい,調子がいい,be in good condition
L19,ちょうしがわるい,調子が悪い,be in bad condition
L19,ちょうし,調子,condition
L19,ゴルフ[をします],,golf (play golf)
L19,すもう,相撲,sumo wrestling
L19,パチンコ[をします],,pinball game (play pachinko)
L19,おちゃ,お茶,tea ceremony
L19,ひ,日,day / date
L19,いちど,一度,once
L19,いちども,一度も,not once / never (used with negatives)
L19,だんだん,,gradually
L19,もうすぐ,,soon
L19,おかげさまで,,Thank you (used when expressing gratitude for help received)
L19,かんぱい,乾杯,Bottoms up / Cheers!
L19,じつは,実は,Actually / to tell the truth
L19,ダイエット[をします],,diet (go on a diet)
L19,なんかいも,何回も,many times
L19,しかし,,but / however
L19,むり[な],無理[な],excessive / impossible
L19,からだにいい,体にいい,good for one’s health
L19,ケーキ,,cake
L19,かつしかほくさい,葛飾北斎,famous Edo period wood block artist and painter (1760 – 1849)
L20,いります[ビザが～],要ります,need / require (a visa)
L20,しらべます,調べます,check / investigate
L20,なおします,直します,repair / correct
L20,しゅうりします,修理します,repair
L20,でんわします,電話します,phone
L20,ぼく,僕,I (an informal equivalent of わたしused by men)
L20,きみ,君,you (an informal equivalent ofあなた used by men)
L20,～くん,～君,Mr. (an informal equivalent of～さん used by men)
L20,うん,,yes (an informal equivalent ofはい)
L20,ううん,,no (an informal equivalent ofいいえ)
L20,サラリーマン,,salaried worker / office worker
L20,ことば,,word / language
L20,ぶっか,物価,commodity prices
L20,きもの,着物,kimono (traditional Japanese attire)
L20,ビザ,,visa
L20,はじめ,初め,the beginning
L20,おわり,終わり,the end
L20,こっち,,this way / this place (an informal equivalent ofこちら)
L20,そっち,,that way / that place (an informal equivalent of そちら)
L20,あっち,,that way / that place over there (an informal equivalent ofあちら)
L20,どっち,,which one (between two things) / which way / where (an informal equivalent ofどちら)
L20,このあいだ,この間,the other day / lately / recently
L20,みんなで,,all together
L20,～けど,,~ / but (an informal equivalent ofが)
L20,くにへかえるの,国へ帰るの,Are you going back to your country?
L20,どうするの,,What will you do?
L20,どうしようかな,,What shall I do?
L20,よかったら,,if you like
L20,いろいろ,,various
L21,おもいます,思います,think
L21,いいます,言います,say
L21,たります,足ります,be enough / be sufficient
L21,かちます,勝ちます,win
L21,まけます,負けます,lose / be beaten
L21,あります[おまつりが～],[お祭りが～],(a festival) be held / take place
L21,やくにたちます,役に立ちます,be useful
L21,むだ[な],,wasteful
L21,ふべん[な],不便[な],inconvenient
L21,おなじ,同じ,the same
L21,すごい,,awful / great (expresses astonishment or admiration)
L21,しゅしょう,首相,prime minister
L21,だいとうりょう,大統領,president
L21,せいじ,政治,politics
L21,ニュース,,news
L21,スピーチ[をします],,speech (make a speech)
L21,しあい,試合,game / match
L21,アルバイト[をします],,side job (work part time)
L21,いけん,意見,opinion
L21,[お]はなし[をします],[お]話,talk / speech / story (talk / tell a story)
L21,ユーモア,,humor
L21,むだ,,waste
L21,デザイン,,design
L21,こうつう,交通,transportation / traffic
L21,ラッシュ,,rush hour
L21,さいきん,最近,recently / these days
L21,たぶん,,probably / perhaps / maybe
L21,きっと,,surely
L21,ほんとうに,,really
L21,そんなに,,not so much (used with negatives)
L21,～について,,about ~ / concerning ~
L21,しかたがありません,,There is no other choice / It can’t be helped
L21,しばらくですね,,It’s been a long time (since I last saw you) / Long time no see
L21,～でものみませんか,～でも飲みませんか,How about drinking ~ or something?
L21,みないと,見ないと,I’ve got to watch it
L21,もちろん,,of course
L21,カンガルー,,kangaroo
L21,キャプテン・クック,,Captain James Cook (1728 – 79)
L22,きます[シャツを～],着ます,put on (a shirt / etc.)
L22,はきます[くつを～],[靴を～],put on (shoes / trousers / etc.)
L22,かぶります[ぼうし～],[帽子を～],put on (a hat / etc.)
L22,かけます[めがねを～],[眼鏡を～],put on (glasses)
L22,うまれます,生まれます,be born
L22,コート,,coat
L22,スーツ,,suit
L22,セーター,,sweater
L22,ぼうし,帽子,hat / cap
L22,めがね,眼鏡,glasses
L22,よく,,often
L22,おめでとうございます,,Congratulations (used on birthdays / at weddings / New Year’s Day / etc.)
L22,こちら,,this (polite equivalent of これ)
L22,やちん,家賃,house rent
L22,うーん,,Let me see
L22,ダイニングキチン,,kitchen with a dining area
L22,わしつ,和室,Japanese-style room
L22,おしいれ,押入れ,Japanese-style closet
L22,ふとん,布団,Japanese-style mattress and quilt
L22,アパート,,apartment
L22,パリ,,Paris
L22,ばんりのちょうじょう,万里の長城,the Great Wall of China
L22,よかかいはつセンター,余暇開発センター,Center for Developing Leisure Activities
L22,レジャーはくしょ,レジャー白書,white paper on leisure
L23,ききます[せんせいに～],聞きます[先生に～],ask (the teacher)
L23,まわします,回します,turn
L23,ひきます,引きます,pull
L23,かえます,変えます,change
L23,さわります[ドアに～],触ります,touch (a door)
L23,でます[おつりが～],出ます[お釣りが～],(change) come out
L23,うごきます[とけいが～],動きます[時計が～],(a watch) move / work
L23,あるきます[みちを～],歩きます[道を～],walk (along a road)
L23,わたります[はしを～],渡ります[橋を～],cross (a bridge)
L23,きをつけます[くるまに～],気をつけます[車に～],pay attention (to cars) / take care
L23,ひっこしします,引っ越しします,move (house)
L23,でんきや,電気屋,electric appliance store
L23,～や,～屋,~ store / shop
L23,サイズ,,size
L23,おと,音,sound
L23,きかい,機械,machine
L23,つまみ,,knob
L23,こしょう（～します）,故障,breakdown (break down)
L23,みち,道,road / way
L23,こうさてん,交差点,crossroad
L23,しんごう,信号,traffic light
L23,かど,角,corner
L23,はし,橋,bridge
L23,ちゅうしゃじょう,駐車場,parking lot / car park
L23,～め,～目,the ~ th (indicating order)
L23,[お]しょうがつ,[お]正月,New Year’s Day
L23,ごちそうさま[でした],,That was delicious (said after eating or drinking)
L23,たてもの,建物,building
L23,がいこくじんとうろくしょう,外国人登録証,alien registration card
L23,しょうとくたいし,聖徳太子,Prince Shotoku (574 – 622)
L23,ほうりゅうじ,法隆寺,Horyuji Temple / a temple in Nara Prefecture built by Prince Shotoku at the beginning of the 7th century
L23,げんきちゃ,元気茶,fictitious tea
L23,ほんだえき,本田駅,fictitious station
L23,としょかんまえ,図書館前,fictitious bus stop (in front of library)
L24,くれます,,give (me)
L24,つれていきます,連れて行きます,take (someone)
L24,つれてきます,連れて来ます,bring (someone)
L24,おくります[ひとを～],送ります[人を～],escort (someone) / go with
L24,しょうかいします,紹介します,introduce
L24,あんないします,案内します,show around / show the way
L24,せつめいします,説明します,explain
L24,いれます[コーヒーを],,make (coffee)
L24,おじいさん/おじいちゃん,,grandfather / old man
L24,おばあさん/おばあちゃん,,grandmother / old woman
L24,じゅんび[～します],準備[～します],preparation (prepare)
L24,いみ,意味,meaning
L24,[お]かし,[お]菓子,sweets / snacks
L24,ぜんぶ,全部,all
L24,じぶんで,自分で,by oneself
L24,ほかに,,besides
L24,ワゴンしゃ,ワゴン車,station wagon
L24,[お]べんとう,[お]弁当,box lunch
L24,ははのひ,母の日,Mother’s Day
L25,かんがえます,考えます,think / consider
L25,つきます[えきに～],着きます[駅に～],arrive (at the station)
L25,りゅうがくします,留学します,study abroad
L25,とります[としを～],取ります[年を～],grow old
L25,いなか,田舎,countryside / hometown
L25,たいしかん,大使館,embassy
L25,グループ,,group
L25,チャンス,,chance
L25,おく,億,hundred million
L25,もし[～たら],,if ~
L25,いくら[～ても],,however ~ / even if ~
L25,てんきんします,転勤します,be transferred to another office
L25,こと[～のこと],,thing / matter (thing about ~)
L25,いっぱいのみましょう,一杯飲みましょう,Let’s have a drink together
L25,[いろいろ]おせわになりました,お世話になりました,Thank you for everything you have done for me
L25,がんばります,頑張ります,do one’s best
L25,どうぞおげんきで,どうぞお元気で,Best of luck (said when expecting a long separation)
L26,みます,見ます，診ます,check
L26,さがします,探します、捜します,look for / search
L26,おくれます[じかんに～],遅れます[時間に～],be late (for an appointment / etc.)
L26,まにあいます[じかんに～],間に合います[時間に～],be in time (for an appointment / etc.)
L26,やります,,do
L26,さんかします[パーティーに～],参加します,attend (a party)
L26,もうしこみます,申し込みます,apply for / enter for
L26,つごうがいい,都合がいい,convenient (concerning time)
L26,つごうがわるい,都合が悪い,inconvenient (concerning time)
L26,きぶんがいい,気分がいい,feel well
L26,きぶんがわるい,気分が悪い,feel ill
L26,しんぶんしゃ,新聞社,newspaper publishing company
L26,じゅうどう,柔道,judo
L26,うんどうかい,運動会,athletic meeting
L26,ばしょ,場所,place
L26,ボランティア,,volunteer
L26,～べん,～弁,~ dialect
L26,こんど,今度,next time / another time
L26,ずいぶん,,pretty / very
L26,ちょくせつ,直接,directly
L26,いつでも,,anytime
L26,どこでも,,anywhere
L26,だれでも,,anybody
L26,なんでも,何でも,anything
L26,こんな～,,~ like this
L26,そんな～,,~ like that (near the listener)
L26,あんな～,,~ like that (far from both the listener and the speaker)
L26,NHK,,Nippon Hoso Kyokai (broadcasting company)
L26,こどものひ,こどもの日,Children’s Day
L26,エドヤストア,,fictitious store
L26,かたづきます,片づきます,(boxes) be put in order
L26,ごみ,,garbage / trash / dust
L26,だします[ごみを～],出します,put out (trash)
L26,もえます[ごみが～],燃えます,(trash) burn
L26,げつ・すい・きん,月・水・金,Monday / Wednesday and Friday
L26,おきば,置き場,place where something is put
L26,よこ,横,side
L26,びん,瓶,bottle
L26,かん,缶,can
L26,[お]ゆ,[お]湯,hot water
L26,ガス,,gas
L26,～がいしゃ,～会社,~ company
L26,れんらくします,連絡します,contact
L26,こまったなあ,困ったなあ,What shall I do?
L26,でんしメール,電子メール,electronic mail
L26,うちゅう,宇宙,space / universe
L26,こわい,怖い,be afraid of
L26,うちゅうせん,宇宙船,spaceship
L26,べつの,別の,another
L26,うちゅうひこうし,宇宙飛行士,astronaut
L26,どいたかお,土井隆雄,Japanese astronaut (1955 –  )
L27,かいます,飼います,keep (a pet) / raise (an animal)
L27,たてます,建てます,build
L27,はしります[みちを～],走ります[道を～],run / drive (along a road)
L27,とります[やすみを～],取ります[休みを～],take (a holiday)
L27,みえます[やまが～],見えます[山が～],(a mountain) can be seen
L27,きこえます[おとが～],聞こえます[音が～],(a sound) can be heard
L27,できます[くうこうが～],[空港が～],(an airport) be made / be completed / come into existence
L27,ひらきます[きょうしつを～],開きます[教室を～],set up (a class) / open / hold
L27,ペット,,pet
L27,とり,鳥,bird
L27,こえ,声,voice
L27,なみ,波,wave
L27,はなび,花火,fireworks
L27,けしき,景色,scenery / view
L27,ひるま,昼間,daytime
L27,むかし,昔,old days / ancient times
L27,どうぐ,道具,tool / instrument / equipment
L27,じどうはんばいき,自動販売機,vending machine
L27,つうしんはんばい,通信販売,mail order / mail-order sales
L27,クリーニング,,(dry) cleaning / laundry
L27,マンション,,condominium / apartment house
L27,だいどころ,台所,kitchen
L27,～きょうしつ,～教室,~ class
L27,パーティールーム,,party room
L27,～ご,～後,after ~ (duration of time)
L27,～しか,,only ~ (used with negatives)
L27,ほかの,,other
L27,はっきり,,clearly
L27,ほとんど,,almost all (in affirmative sentences) / hardly / scarcely (in negative sentences)
L27,かんさいくうこう,関西空港,Kansai International Airport
L27,あきはばら,秋葉原,name of a shopping district in Tokyo with many electrical stores
L27,いず,伊豆,peninsula in Shizuoka Prefecture
L27,にちようだいく,日曜大工,Sunday carpenter
L27,ほんだな,本棚,bookshelf
L27,ゆめ,夢,dream
L27,いつか,,someday / sometime
L27,いえ,家,house / home
L27,すばらしい,,marvelous / wonderful
L27,こどもたち,子どもたち,children
L27,だいすき[な],大好き[な],like very much
L27,まんが,漫画,comics
L27,しゅじんこう,主人公,hero / heroine
L27,かたち,形,shape
L27,ロボット,,robot
L27,ふしぎ[な],不思議[な],fantastic / mysterious
L27,ポケット,,pocket
L27,たとえば,例えば,for example
L27,つけます,付けます,attach / put on
L27,じゆうに,自由に,freely
L27,そら,空,sky
L27,とびます,飛びます,fly
L27,じぶん,自分,oneself
L27,しょうらい,将来,future
L27,ドラえもん,,name of a cartoon character
L28,うれます[パンが～],売れます,(bread) sell well
L28,おどります,踊ります,dance
L28,かみます,,chew / bite
L28,えらびます,選びます,choose
L28,ちがいます,違います,be different
L28,かよいます[だいがくに～],通います[大学に～],go to and from (university)
L28,メモします,,take a memo
L28,まじめ[な],,serious
L28,ねっしん[な],熱心[な],earnest
L28,やさしい,優しい,gentle / kind
L28,えらい,偉い,great / admirable
L28,ちょうどいい,,proper / just right
L28,しゅうかん,習慣,custom
L28,けいけん,経験,experience
L28,ちから,力,power
L28,にんき,人気,popularity
L28,かたち,形,form / shape
L28,いろ,色,color
L28,あじ,味,taste
L28,ガム,,chewing gum
L28,しなもの,品物,goods
L28,ねだん,値段,price
L28,きゅうりょう,給料,salary
L28,ボーナス,,bonus
L28,ばんぐみ,番組,program
L28,ドラマ,,drama
L28,しょうせつ,小説,novel
L28,しょうせつか,小説家,novelist
L28,かしゅ,歌手,singer
L28,かんりにん,管理人,janitor
L28,むすこ,息子,(my) son
L28,むすこさん,息子さん,(someone else’s) son
L28,むすめ,娘,(my) daughter
L28,むすめさん,娘さん,(someone else’s) daughter
L28,じぶん,自分,oneself
L28,しょうらい,将来,future
L28,しばらく,,a little while
L28,たいてい,,usually / mostly
L28,それに,,in addition
L28,それで,,and so
L28,[ちょっと]おねがいがるんですが,お願いがあるんですが,I have a favor to ask
L28,ホームステイ,,homestay
L28,おしゃべりします,,chat
L28,おしらせ,お知らせ,notice
L28,ひにち,日にち,date
L28,ど,土,Saturday
L28,たいいくかん,体育館,gymnasium
L28,むりょう,無料,free of charge
L29,あきます[ドアが～],開きます,(a door) open
L29,しまります[ドアが～],閉まります,(a door) close / shut
L29,つきます[でんきが～],[電気が～],(a light) come one
L29,きえます[でんきが～],消えます[電気が～],(a light) go off / disappear
L29,こみます[みちが～],込みます[道が～],(a road) get crowded
L29,すきます[みちが～],[道が～],(a road) get empty
L29,こわれます[いすが～],壊れます,(a chair) break
L29,われます[コップが～],割れます,(a glass) break / smash
L29,おれます[きが～],折れます[木が～],(a tree) break / snap
L29,やぶれます[かみが～],破れます[紙が～],(the paper) tear
L29,よごれます[ふくが～],汚れます[服が～],(the clothes) get dirty
L29,つきます[ポケットが～],付きます,(a pocket) be attached
L29,はずれます[ボタンが～],外れます,(a button) be undone
L29,とまります[エレベーターが～],止まります,(an elevator) stop
L29,まちがえます,,make a mistake
L29,おとします,落とします,drop / lose
L29,かかります[かぎが～],掛かります,be locked
L29,[お]さら,[お]皿,plate / dish
L29,[お]ちゃわん,,rice bowl
L29,コップ,,glass (vessel)
L29,ガラス,,glass (material)
L29,ふくろ,袋,bag
L29,さいふ,財布,wallet / purse
L29,えだ,枝,branch / twig
L29,えきいん,駅員,station employee
L29,このへん,この辺,this neighborhood / around here
L29,～へん,～辺,the place around ~
L29,このくらい,,about this size
L29,おさきにどうぞ,お先にどうぞ,After you/Go ahead / please
L29,[ああ]よかった,,Thank goodness!
L29,いまのでんしゃ,今の電車,the train which has just left
L29,わすれもの,忘れ物,things left behind / lost property
L29,～がわ,～側,~ side
L29,ポケット,,pocket
L29,おぼえていません,覚えていません,I don’t remember
L29,あみだな,網棚,rack
L29,たしか,確か,I suppose / if I am correct
L29,よつや,四ツ谷,name of a station in Tokyo
L29,じしん,地震,earthquake
L29,かべ,壁,wall
L29,はり,針,hands (of a clock)
L29,さします,指します,point
L29,えきまえ,駅前,the area in front of a station
L29,たおれます,倒れます,fall down
L29,にし,西,west
L29,ほう,方,direction
L29,さんのみや,三宮,name of a place in Kobe
L30,はります,,put up / post / paste
L30,かけます,掛けます,hang
L30,かざります,飾ります,decorate / ornament
L30,ならべます,並べます,arrange / line up
L30,うえます,植えます,plant
L30,もどします,戻します,return / put ~ back
L30,まとめます,,put ~ together / put ~ in shape / sum up
L30,かたづけます,片づけます,put things in order / tidy up
L30,しまいます,,put things in their proper place
L30,きめます,決めます,decide
L30,しらせます,知らせます,inform
L30,そうだんします,相談します,consult / discuss
L30,よしゅうします,予習します,prepare one’s lesson
L30,ふくしゅうします,復習します,review one’s lesson
L30,そのままにします,,leave things as they are
L30,おこさん,お子さん,(someone else’s) child
L30,じゅぎょう,授業,class
L30,こうぎ,講義,lecture
L30,ミーティング,,meeting
L30,よてい,予定,plan / schedule
L30,おしらせ,お知らせ,notice
L30,あんないしょ,案内書,guidebook
L30,カレンダー,,calendar
L30,ポスター,,poster
L30,ごみばこ,ごみ箱,trash can / dustbin
L30,にんぎょう,人形,doll
L30,かびん,花瓶,vase
L30,かがみ,鏡,mirror
L30,ひきだし,引き出し,drawer
L30,げんかん,玄関,front door / porch / entrance hall
L30,ろうか,廊下,corridor / hallway
L30,かべ,壁,wall
L30,いけ,池,pond
L30,こうばん,交番,police box
L30,もとのところ,元の所,original place
L30,まわり,周り,round / around
L30,まんなか,真ん中,center
L30,すみ,隅,corner
L30,まだ,,still
L30,～ほど,,about ~
L30,よていひょう,予定表,schedule
L30,ごくろうさま,ご苦労さま,Thank you for your hard work (used by a superior or older person to express appreciation for a subordinate’s work)
L30,きぼう,希望,hope / request
L30,なにかごきぼうがありますか,何かご希望がありますか,Do you have any requests?
L30,ミュージカル,,musical
L30,それはいいですね,,That’s a good idea/That sounds nice
L30,ブロードウェイ,,Broadway
L30,まるい,丸い,round
L30,つき,月,moon
L30,ある～,,one ~ / a certain ~
L30,ちきゅう,地球,earth
L30,うれしい,,glad / happy
L30,いや[な],嫌[な],hateful / disagreeable
L30,すると,,and / then
L30,めがさめます,目が覚めます,wake up
L31,はじまります[しきが～],始まります[式が～],[ a ceremony] begin / start
L31,つづけます,続けます,continue
L31,みつけます,見つけます,find
L31,うけます[しけんを],受けます,take [an examination]
L31,にゅうがくします [だいがくに～],入学します[大学に～],enter [a university]
L31,そつぎょうします[だいがくを～],卒業します[大学を～],graduate [from a university]
L31,しゅっせきします[かいぎに～],出席します[会議に～],attend [a meeting]
L31,きゅうけいします,休憩します,take a break / take a rest
L31,れんきゅう,連休,consecutive holidays
L31,さくぶん,作文,essay / composition
L31,てんらんかい,展覧会,exhibition
L31,けっこんしき,結婚式,wedding ceremony
L31,[お]そうしき,[お]葬式,funeral
L31,しき,式,ceremony
L31,ほんしゃ,本社,head office
L31,してん,支店,branch office
L31,きょうかい,教会,church
L31,だいがくいん,大学院,graduate school
L31,どうぶつえん,動物園,zoo
L31,おんせん,温泉,hot spring / spa
L31,おきゃく[さん],お客[さん],visitor / guest / customer / client
L31,だれか,,somebody
L31,～のほう,～の方,place toward ~ / direction of ~
L31,ずっと,,all the time
L31,ピカソ,,Pablo Picasso / Spanish painter (1881 – 1973)
L31,うえのこうえん,上野公園,Ueno Park (in Tokyo)
L31,のこります,残ります,remain / be left
L31,つきに,月に,per month
L31,ふつうの,普通の,ordinary / common / usual
L31,インターネット,,Internet
