Japanese,English,Hints,Type
開きます;あきます;akimasu,open,［ドアが～］;[an _ door],Verb
閉まります;しまります;shimarimasu,close;shut,［ドアが～］;[a _ door],Verb
点きます;つきます;tsukimasu,come on,［電気(でんき)が～］;[a light _],Verb
消えます;きえます;kiemasu,go off;disappear,［電気(でんき)が～］;[a light _],Verb
込みます;こみます;komimasu,get crowded,［道(みち)が～］;[a street _],Verb
空きます;すきます;sukimasu,get empty,［道(みち)が～］;[a street],Verb
壊れます;こわれます;kowaremasu,break,［椅子(いす)が～］;[_ a chair],Verb
割れます;われます;waremasu,break;smash,［コップが～］;[_ a glass],Verb
折れます;おれます;oremasu,break;snap,［木(き)が～］;[_ a tree],Verb
破れます;やぶれます;yaburemasu,tear,［紙(かみ)が～］;[_ the paper],Verb
汚れます;よごれます;yogoremasu,get dirty,［服(ふく)が～］;[the clothes _],Verb
付きます;つきます;tsukimasu,be attached,［ポケットが～］;[a pocket _],Verb
外れます;はずれます;hazuremasu,be undone,［ボタンが～］;[a button _],Verb
止まります;とまります;tomarimasu,stop,［エレベーターが～］;[_ an elevator],Verb
間違えます;まちがえます;machigaemasu,make a mistake,［-］;[-],Verb
落します;おとします;otoshimasu,drop;loose,［-］;[-],Verb
掛かります;かかります;kakarimasu,be locked,［鍵(かぎ)が〜］;[_ by a key],Verb
ふきます;ふきます;fukimasu,wipe,［-］;[-],Verb
取り替えます;とりかえます;torikaemasu,change,［-］;[-],Verb
片づけます;かたづけます;katadzukemasu,put (things) in order;tidy up,［-］;[-],Verb
［お］皿;［お］さら;[o]sara,plate;dish,［-］;[-],Noun
［お］茶碗;［お］ちゃわん;[o]chawan,rice bowl,［-］;[-],Noun
コップ;コップ;koppu,glass vessel,［-］;[-],Noun
ガラス;ガラス;gurasu,glass material,［-］;[-],Noun
袋;ふくろ;fukuro,bag,［-］;[-],Noun
書類;しょるい;shorui,document;papers,［-］;[-],Noun
財布;さいふ;fukuro,wallet;purse,［-］;[-],Noun
枝;えだ;eda,branch;twig,［-］;[-],Noun
駅員;えきいん;ekiin,station employee,［-］;[-],Noun
交番;こうばん;kouban,police box,［-］;[-],Noun
スピーチ;スピーチ;supiichi,speech,［-］;[-],Noun
返事;へんじ;henji,reply;answer,［-］;[-],Noun
源氏物語;げんじものがたり;genjimonogatari,The Tale of Genji,［-］;[-],Noun
この辺;このへん;konohen,this neighborhood;around here,［-］;[-],Noun
～辺;～へん;~hen,neighborhood,［-］;[-],Noun
このくらい;このくらい;konokurai,about this size,［-］;[-],Noun
お先にどうぞ;おさきにどうぞ;osakinidouzo,after you;go ahead,［-］;[-],Noun
［ああ、］良かった;［ああ、］よかった;[aa、]yokatta,thank goodness,［-］;[-],Noun
今の電車;いまのでんしゃ;imanodensha,the train which has just left,［-］;[-],Noun
忘れ物;わすれもの;wasuremono,things left behind;lost property,［-］;[-],Noun
～側;～がわ;~gawa,side,［-］;[-],Noun
ポケット;ポケット;poketo,pocket,［-］;[-],Noun
覚えていません;おぼえていません;oboeteimasen,i don't remember,［-］;[-],Verb
網棚;あみだな;amidana,rack,［-］;[-],Noun
確か;たしか;tashika,i suppose;if i am correct,［-］;[-],Noun
新宿;しんじゅく;shinjuku,shinjuku station,［-］;[-],Noun
地震;じしん;jishin,earthquake,［-］;[-],Noun
壁;かべ;kabe,wall,［-］;[-],Noun
針;はり;hari,clock hand,［-］;[-],Noun
指す;さします;sashimasu,point,［-］;[-],Verb
駅前;えきまえ;ekimae,station front,［-］;[-],Noun
倒れます;たおれます;taoremasu,fall down,［-］;[-],Verb
西;にし;nishi,west,［-］;[-],Noun
方;ほう;hou,direction,［-］;[-],Noun
燃えます;もえます;moemasu,burn,［-］;[-],Noun
レポーター;レポーター;repoutaa,reporter,［-］;[-],Noun